"","Year","STATE","FWS","FED","CF2016"
"1",2004,59776276,124146125,600903895,1.277924828
"2",2005,36585860,128724628,749225585,1.236047107
"3",2006,34660268,112169495,733202524,1.197420635
"4",2007,51452949,139817984,758229286,1.1644959
"5",2008,48674192.9998102,136236546.999861,704911770.98974,1.121226196
"6",2009,45728416.0016853,142324439.005197,1026439129.99424,1.125407925
"7",2010,48341204.0004354,158226232.496478,916725378.034925,1.106831729
"8",2011,35001435.0008371,166290988.002831,1056469253.00699,1.07336594
"9",2012,51879599.0007908,145953554.500373,1139907153.01633,1.051393728
"10",2013,45749820.9989672,138121484.001606,1011501749.99563,1.036051502
"11",2014,55503308,147695717,1017804590,1.028109029
