Year,Species,CPI,CF2018,ESOld,ESNew,ESP,Recovery,ConsultOld,ConsultNew
1973,110,44.40000001,5.657657656,NA,NA,NA,NA,NA,NA
1974,110,49.3,5.095334686,NA,NA,NA,NA,NA,NA
1975,118,53.8,4.669144981,NA,NA,NA,NA,NA,NA
1976,151,56.90000001,4.414762741,NA,NA,NA,NA,NA,NA
1977,169,60.59999999,4.145214522,NA,NA,NA,NA,NA,NA
1978,205,65.2,3.852760736,NA,NA,NA,NA,NA,NA
1979,236,72.59999999,3.460055097,NA,NA,NA,NA,NA,NA
1980,250,82.40000001,3.048543689,NA,NA,NA,NA,NA,NA
1981,254,90.90000001,2.763476347,NA,NA,NA,NA,NA,NA
1982,264,96.5,2.603108808,NA,NA,NA,NA,NA,NA
1983,271,99.59999999,2.522088354,NA,NA,NA,NA,NA,NA
1984,298,103.9,2.417709336,31104000,NA,12818000,4458000,2828000,NA
1985,354,107.6,2.334572491,40495000,NA,16558000,5884000,2845000,NA
1986,387,109.6,2.291970803,37450000,NA,16746000,2625000,6031000,NA
1987,447,113.6,2.211267606,47005000,NA,18546000,6565000,3193000,NA
1988,493,118.3,2.123415046,49317000,NA,18832000,7502000,2978000,NA
1989,524,124,2.025806452,53863000,NA,21036000,8408000,3252000,NA
1990,560,130.7,1.921958684,58892000,NA,24331000,10608000,3691000,NA
1991,638,136.2,1.844346549,83177000,NA,32082000,14906000,5267000,NA
1992,713,140.3,1.790449038,92186000,NA,35752000,19014000,8130000,NA
1993,779,144.5,1.738408304,94866000,NA,39198000,20065000,9455000,NA
1994,906,148.2,1.695006748,128704000,NA,60803000,31650000,14416000,NA
1995,924,152.4,1.648293963,137711000,NA,70447000,39709000,18294000,NA
1996,1014,156.9,1.601019758,124526000,NA,60297000,36500000,15997000,NA
1997,1089,160.5,1.565109034,131313000,NA,67385000,39636000,17949000,NA
1998,1144,163,1.541104294,145553000,NA,77181000,42460000,23828000,NA
1999,1166,166.6,1.507803121,183908000,NA,110817000,66077000,27231000,NA
2000,1205,172.2,1.458768873,189739000,NA,108282000,57363000,32342000,NA
2001,1215,177.1,1.418407679,209882000,NA,120947000,59835000,42750000,NA
2002,1226,179.9,1.396331295,219726000,NA,125738000,63617000,45501000,NA
2003,1227,184,1.365217391,211147000,NA,125744000,60215000,47770000,NA
2004,1232,188.9,1.329804129,234988000,NA,136994000,67905000,47146000,NA
2005,1239,195.3,1.286226318,248572000,NA,143214000,69870000,48129000,NA
2006,1251,201.6,1.246031746,257039000,NA,147808000,73562000,47997000,NA
2007,1251,207.3,1.211770381,242624000,NA,141038000,65879000,49337000,NA
2008,1252,215.3,1.166744078,263396000,NA,150508000,71041000,51758000,NA
2009,1296,214.5,1.171095571,276270000,NA,157973000,74575000,53462000,NA
2010,1349,218.1,1.151765245,310955000,NA,179309000,85319000,59307000,NA
2011,1368,224.9,1.116940863,301286000,NA,175446000,81219000,61877000,NA
2012,1415,229.6,1.094076655,299720000,NA,175955000,82806000,60943000,NA
2013,1503,233,1.078111588,296139000,NA,175592000,81483000,61673000,NA
2014,1544,234.8,1.069846678,281403000,221930000,170511000,76916000,61550000,96336000
2015,1573,236.5,1.062156448,285403000,225913000,173011000,77916000,62550000,98336000
2016,1646,241.4,1.04059652,NA,234006000,NA,82016000,NA,99079000
2017,1655,246.5,1.019066937,NA,240022000,NA,84032000,NA,103079000
2018,1659,251.2,1,NA,247825000,NA,91032000,NA,105579000
