Year,Species,CPI,CF2016,ESOld,ESNew,ESP,Recovery,ConsultOld,ConsultNew
1973,,44.40000001,5.436936936,,,,,,
1974,,49.3,4.896551724,,,,,,
1975,,53.8,4.486988848,,,,,,
1976,,56.90000001,4.242530755,,,,,,
1977,,60.59999999,3.98349835,,,,,,
1978,,65.2,3.702453988,,,,,,
1979,,72.59999999,3.325068871,,,,,,
1980,,82.40000001,2.92961165,,,,,,
1981,,90.90000001,2.655665566,,,,,,
1982,,96.5,2.501554404,,,,,,
1983,,99.59999999,2.423694779,,,,,,
1984,,103.9,2.323387873,31104000,,12818000,4458000,2828000,
1985,,107.6,2.243494424,40495000,,16558000,5884000,2845000,
1986,,109.6,2.202554745,37450000,,16746000,2625000,6031000,
1987,,113.6,2.125,47005000,,18546000,6565000,3193000,
1988,,118.3,2.04057481,49317000,,18832000,7502000,2978000,
1989,540,124,1.946774194,53863000,,21036000,8408000,3252000,
1990,581,130.7,1.846977812,58892000,,24331000,10608000,3691000,
1991,661,136.2,1.772393539,83177000,,32082000,14906000,5267000,
1992,743,140.3,1.720598717,92186000,,35752000,19014000,8130000,
1993,807,144.5,1.670588235,94866000,,39198000,20065000,9455000,
1994,909,148.2,1.628879892,128704000,,60803000,31650000,14416000,
1995,927,152.4,1.583989501,137711000,,70447000,39709000,18294000,
1996,960,156.9,1.538559592,124526000,,60297000,36500000,15997000,
1997,1039,160.5,1.504049844,131313000,,67385000,39636000,17949000,
1998,1155,163,1.480981595,145553000,,77181000,42460000,23828000,
1999,1188,166.6,1.448979592,183908000,,110817000,66077000,27231000,
2000,1233,172.2,1.401858304,189739000,,108282000,57363000,32342000,
2001,1243,177.1,1.363071711,209882000,,120947000,59835000,42750000,
2002,1254,179.9,1.341856587,219726000,,125738000,63617000,45501000,
2003,1260,184,1.311956522,211147000,,125744000,60215000,47770000,
2004,1251,188.9,1.277924828,234988000,,136994000,67905000,47146000,
2005,1260,195.3,1.236047107,248572000,,143214000,69870000,48129000,
2006,1269,201.6,1.197420635,257039000,,147808000,73562000,47997000,
2007,1270,207.3,1.1644959,242624000,,141038000,65879000,49337000,
2008,1268,215.3,1.121226196,263396000,,150508000,71041000,51758000,
2009,1297,214.5,1.125407925,276270000,,157973000,74575000,53462000,
2010,1322,218.1,1.106831729,310955000,,179309000,85319000,59307000,
2011,1347,224.9,1.07336594,301286000,,175446000,81219000,61877000,
2012,1401,229.6,1.051393728,299720000,,175955000,82806000,60943000,
2013,1488,233,1.036051502,296139000,,175592000,81483000,61673000,
2014,1565,234.8,1.028109029,281403000,221930000,170511000,76916000,61550000,96336000
2015,1595,236.5,1.020718816,285403000,225913000,173011000,77916000,62550000,98336000
2016,1649,241.4,1,,234006000,,82016000,,99079000
